Model,Epochs,Filter_Size,Kernel_Size,Dense_Layer,Dropout,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_Time,,,,,,,,,,,,,,
Model HOG + Template,5,"[6, 16]","[21, 5]","[120, 84]",0.5,96.3%,93.2%,95.8%, 118.02 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[6, 16]","[21, 5]","[120, 84]",0.3,99.0%,91.9%,93.1%, 100.41 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[6, 16]","[21, 5]","[84, 64]",0.5,96.9%,93.8%,96.0%, 91.05 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[6, 16]","[21, 5]","[84, 64]",0.3,98.7%,86.5%,89.0%, 101.73 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[120, 84]",0.5,98.0%,90.5%,89.5%, 118.18 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[120, 84]",0.3,98.0%,93.8%,94.9%, 132.84 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[84, 64]",0.5,97.3%,93.7%,95.7%, 111.39 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[84, 64]",0.3,98.5%,92.8%,94.8%, 126.54 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[120, 84]",0.5,98.1%,92.1%,94.0%, 197.71 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[120, 84]",0.3,99.3%,94.0%,96.2%, 195.82 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[84, 64]",0.5,99.0%,94.2%,95.3%, 180.76 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[84, 64]",0.3,99.1%,86.9%,89.2%, 181.70 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[120, 84]",0.5,99.2%,93.8%,95.4%, 219.28 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[120, 84]",0.3,98.6%,39.7%,43.2%, 232.95 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[84, 64]",0.5,99.1%,95.7%,96.5%, 233.67 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[84, 64]",0.3,99.4%,94.8%,96.1%, 244.51 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Model,Epochs,Filter_Size,Kernel_Size,Dense_Layer,Dropout,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_Time,,,,Model,Epochs,Filter_Size,Kernel_Size,Dense_Layer,Dropout,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_Time,Comments
Model HOG + Template,5,"[6, 16]","[21, 5]","[84, 64]",0.5,96.9%,93.8%,96.0%, 91.05 ,Most Efficient,,,Model HOG + Template,5,"[6, 16]","[21, 5]","[84, 64]",0.5,96.9%,93.8%,96.0%, 91.05 ,Most Efficient
Model HOG + Template,5,"[6, 16]","[21, 5]","[120, 84]",0.3,99.0%,91.9%,93.1%, 100.41 ,,,,Model HOG + Template,10,"[12, 16]","[21, 5]","[84, 64]",0.5,99.1%,95.7%,96.5%, 233.67 ,Most Accurate
Model HOG + Template,5,"[6, 16]","[21, 5]","[84, 64]",0.3,98.7%,86.5%,89.0%, 101.73 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[84, 64]",0.5,97.3%,93.7%,95.7%, 111.39 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[6, 16]","[21, 5]","[120, 84]",0.5,96.3%,93.2%,95.8%, 118.02 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[120, 84]",0.5,98.0%,90.5%,89.5%, 118.18 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[84, 64]",0.3,98.5%,92.8%,94.8%, 126.54 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[120, 84]",0.3,98.0%,93.8%,94.9%, 132.84 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[84, 64]",0.5,99.0%,94.2%,95.3%, 180.76 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[84, 64]",0.3,99.1%,86.9%,89.2%, 181.70 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[120, 84]",0.3,99.3%,94.0%,96.2%, 195.82 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[120, 84]",0.5,98.1%,92.1%,94.0%, 197.71 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[120, 84]",0.5,99.2%,93.8%,95.4%, 219.28 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[120, 84]",0.3,98.6%,39.7%,43.2%, 232.95 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[84, 64]",0.5,99.1%,95.7%,96.5%, 233.67 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[84, 64]",0.3,99.4%,94.8%,96.1%, 244.51 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Model,Epochs,Filter_Size,Kernel_Size,Dense_Layer,Dropout,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_Time,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[84, 64]",0.5,99.1%,95.7%,96.5%, 233.67 ,Most Accurate,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[120, 84]",0.3,99.3%,94.0%,96.2%, 195.82 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[84, 64]",0.3,99.4%,94.8%,96.1%, 244.51 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[6, 16]","[21, 5]","[84, 64]",0.5,96.9%,93.8%,96.0%, 91.05 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[6, 16]","[21, 5]","[120, 84]",0.5,96.3%,93.2%,95.8%, 118.02 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[84, 64]",0.5,97.3%,93.7%,95.7%, 111.39 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[120, 84]",0.5,99.2%,93.8%,95.4%, 219.28 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[84, 64]",0.5,99.0%,94.2%,95.3%, 180.76 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[120, 84]",0.3,98.0%,93.8%,94.9%, 132.84 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[84, 64]",0.3,98.5%,92.8%,94.8%, 126.54 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[120, 84]",0.5,98.1%,92.1%,94.0%, 197.71 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[6, 16]","[21, 5]","[120, 84]",0.3,99.0%,91.9%,93.1%, 100.41 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[12, 16]","[21, 5]","[120, 84]",0.5,98.0%,90.5%,89.5%, 118.18 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[6, 16]","[21, 5]","[84, 64]",0.3,99.1%,86.9%,89.2%, 181.70 ,,,,,,,,,,,,,,
Model HOG + Template,5,"[6, 16]","[21, 5]","[84, 64]",0.3,98.7%,86.5%,89.0%, 101.73 ,,,,,,,,,,,,,,
Model HOG + Template,10,"[12, 16]","[21, 5]","[120, 84]",0.3,98.6%,39.7%,43.2%, 232.95 ,,,,,,,,,,,,,,
